City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Terra Santa,-2.1042,-56.4869,92.73,42,53,6.2,BR,broken clouds
1,Albany,42.6001,-73.9662,47.84,60,45,1.19,US,scattered clouds
2,Dikson,73.5069,80.5464,21.61,83,100,12.33,RU,overcast clouds
3,Hobart,-42.8794,147.3294,48.11,88,0,3.0,AU,clear sky
4,Hilo,19.7297,-155.09,79.29,75,20,5.75,US,few clouds
5,Miranda,3.2499,-76.2281,81.64,75,75,0.94,CO,broken clouds
6,Provideniya,64.3833,-173.3,13.93,79,98,9.8,RU,overcast clouds
7,Kapaa,22.0752,-159.319,75.52,75,90,4.0,US,heavy intensity rain
8,Butaritari,3.0707,172.7902,83.01,72,8,15.93,KI,clear sky
9,Jamestown,42.097,-79.2353,45.3,62,90,1.99,US,overcast clouds
10,Koslan,63.4564,48.8989,34.14,98,100,9.04,RU,light rain
11,Airai,-8.9266,125.4092,62.53,81,98,2.17,TL,overcast clouds
12,San Patricio,28.017,-97.5169,57.29,78,98,14.07,US,overcast clouds
13,Naze,28.3667,129.4833,65.57,66,90,9.24,JP,overcast clouds
14,Mar Del Plata,-38.0023,-57.5575,68.02,99,75,11.99,AR,broken clouds
15,Ucluelet,48.9329,-125.5528,56.05,94,100,3.0,CA,overcast clouds
16,Arraial Do Cabo,-22.9661,-42.0278,76.96,78,40,10.36,BR,scattered clouds
17,Lompoc,34.6391,-120.4579,74.84,78,1,6.91,US,clear sky
18,Pisco,-13.7,-76.2167,69.03,73,0,12.66,PE,clear sky
19,Busselton,-33.65,115.3333,50.09,85,5,3.33,AU,clear sky
20,Saskylakh,71.9167,114.0833,0.41,91,90,13.44,RU,overcast clouds
21,Sebinkarahisar,40.2883,38.4236,49.32,69,6,3.18,TR,clear sky
22,Yeppoon,-23.1333,150.7333,65.98,68,31,12.24,AU,scattered clouds
23,Qaanaaq,77.484,-69.3632,7.83,52,0,7.07,GL,clear sky
24,Carnarvon,-24.8667,113.6333,66.27,68,90,19.57,AU,overcast clouds
25,Port Alfred,-33.5906,26.891,66.06,89,8,5.93,ZA,clear sky
26,Avarua,-21.2078,-159.775,75.25,73,29,4.61,CK,light rain
