City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Svetlopolyansk,RU,2021-11-01 20:42:19,59.4184,52.3605,22.6,94,26,6.17
1,Nhulunbuy,AU,2021-11-01 20:42:19,-12.2333,136.7667,79.41,94,75,0.0
2,Ruwi,OM,2021-11-01 20:42:19,23.5996,58.5507,76.69,45,0,8.1
3,Gotera,ET,2021-11-01 20:42:20,8.9821,38.7585,52.39,78,53,2.86
4,Albany,US,2021-11-01 20:41:53,42.6001,-73.9662,54.45,42,17,1.01
5,Naze,JP,2021-11-01 20:42:21,28.3667,129.4833,67.98,63,0,14.14
6,Hermanus,ZA,2021-11-01 20:42:21,-34.4187,19.2345,55.9,68,5,10.38
7,Huangpu,CN,2021-11-01 20:42:22,25.4433,113.1747,62.17,98,100,3.49
8,Busselton,AU,2021-11-01 20:42:22,-33.65,115.3333,50.04,74,100,10.18
9,Cape Town,ZA,2021-11-01 20:39:10,-33.9258,18.4232,56.12,77,20,1.01
10,Ushuaia,AR,2021-11-01 20:42:23,-54.8,-68.3,56.86,44,20,20.71
11,Mar Del Plata,AR,2021-11-01 20:42:23,-38.0023,-57.5575,59.09,91,90,3.0
12,Dikson,RU,2021-11-01 20:42:24,73.5069,80.5464,4.8,94,13,9.01
13,Vaini,TO,2021-11-01 20:42:24,-21.2,-175.2,80.76,83,75,11.5
14,Souillac,MU,2021-11-01 20:42:25,-20.5167,57.5167,73.78,78,40,6.91
15,Rikitea,PF,2021-11-01 20:42:25,-23.1203,-134.9692,71.96,68,100,12.15
16,Itupiranga,BR,2021-11-01 20:42:26,-5.1347,-49.3267,89.92,72,98,3.83
17,Yellowknife,CA,2021-11-01 20:38:01,62.456,-114.3525,39.42,79,75,13.8
18,Ust-Nera,RU,2021-11-01 20:32:16,64.5667,143.2,-5.4,97,100,6.02
19,Hithadhoo,MV,2021-11-01 20:32:30,-0.6,73.0833,81.79,78,84,19.39
20,Partyzany,UA,2021-11-01 20:42:27,46.3314,34.7503,53.02,79,100,7.92
21,Jamestown,US,2021-11-01 20:37:50,42.097,-79.2353,49.32,58,90,5.99
22,Punta Arenas,CL,2021-11-01 20:37:47,-53.15,-70.9167,51.91,50,0,11.5
23,Port Alfred,ZA,2021-11-01 20:42:28,-33.5906,26.891,63.63,63,74,24.87
24,Atuona,PF,2021-11-01 20:42:29,-9.8,-139.0333,78.37,70,26,14.9
25,Gazanjyk,TM,2021-11-01 20:42:29,39.2446,55.5154,57.67,42,100,12.8
26,Hobart,AU,2021-11-01 20:40:29,-42.8794,147.3294,56.26,84,40,1.01
27,Bambous Virieux,MU,2021-11-01 20:42:30,-20.3428,57.7575,73.65,78,40,6.91
28,Auchel,FR,2021-11-01 20:42:31,50.5034,2.4735,47.43,96,98,10.87
29,Saint-Philippe,RE,2021-11-01 20:42:31,-21.3585,55.7679,71.15,78,40,9.53
30,Maragogi,BR,2021-11-01 20:42:32,-9.0122,-35.2225,78.66,77,17,12.35
31,Isangel,VU,2021-11-01 20:42:32,-19.55,169.2667,75.31,64,58,13.8
32,Kaitangata,NZ,2021-11-01 20:42:32,-46.2817,169.8464,52.21,49,12,12.46
33,Les Cayes,HT,2021-11-01 20:42:33,18.2,-73.75,83.21,69,40,6.91
34,Qaanaaq,GL,2021-11-01 20:42:33,77.484,-69.3632,9.75,69,55,8.01
35,Namatanai,PG,2021-11-01 20:42:34,-3.6667,152.4333,80.78,77,39,3.98
36,Bilma,NE,2021-11-01 20:35:14,18.6853,12.9164,80.51,15,21,8.28
37,Nabire,ID,2021-11-01 20:42:34,-3.3667,135.4833,75.15,91,100,1.54
38,Kapaa,US,2021-11-01 20:42:35,22.0752,-159.319,83.48,73,1,1.01
39,Mana,GF,2021-11-01 20:42:36,5.6592,-53.7767,81.05,78,51,9.06
40,Tuktoyaktuk,CA,2021-11-01 20:42:36,69.4541,-133.0374,24.8,86,75,11.5
41,Cabedelo,BR,2021-11-01 20:42:36,-6.9811,-34.8339,81.27,72,69,12.41
42,Lovington,US,2021-11-01 20:42:37,32.944,-103.3485,69.04,38,100,3.0
43,Nyurba,RU,2021-11-01 20:42:37,63.2842,118.3319,22.68,96,100,6.69
44,Barrow,US,2021-11-01 20:32:47,71.2906,-156.7887,23.02,86,90,13.8
45,Rawson,AR,2021-11-01 20:42:38,-43.3002,-65.1023,62.65,51,79,28.39
46,Morros,BR,2021-11-01 20:42:38,-9.4467,-46.3003,80.6,58,84,4.25
47,Mataura,NZ,2021-11-01 20:43:39,-46.1927,168.8643,48.38,74,47,8.21
48,Lagoa,PT,2021-11-01 20:43:40,39.05,-27.9833,69.33,87,90,5.82
49,Victoria,HK,2021-11-01 20:40:30,22.2855,114.1577,77.38,81,94,1.99
50,Matamoros,MX,2021-11-01 20:43:40,25.5333,-103.25,85.75,22,59,4.85
51,Araouane,ML,2021-11-01 20:43:41,18.9048,-3.5265,86.72,14,35,8.75
52,Langsa,ID,2021-11-01 20:43:42,4.4683,97.9683,74.75,96,100,1.7
53,Yeghegnavan,AM,2021-11-01 20:43:42,39.838,44.6253,46.8,61,93,2.15
54,Andros Town,BS,2021-11-01 20:43:43,24.7,-77.7667,80.56,58,32,12.06
55,Georgetown,MY,2021-11-01 20:30:02,5.4112,100.3354,78.73,92,40,2.3
56,Tasiilaq,GL,2021-11-01 20:43:43,65.6145,-37.6368,24.96,64,14,5.44
57,Berlevag,NO,2021-11-01 20:36:56,70.8578,29.0864,37.4,87,75,9.22
58,Qaqortoq,GL,2021-11-01 20:39:33,60.7167,-46.0333,34.3,69,100,5.66
59,Nikolskoye,RU,2021-11-01 20:34:01,59.7035,30.7861,44.87,85,93,6.44
60,Kidal,ML,2021-11-01 20:43:45,18.4411,1.4078,85.14,14,27,10.45
61,Abu Dhabi,AE,2021-11-01 20:36:44,24.4667,54.3667,84.22,79,0,6.91
62,Port Lincoln,AU,2021-11-01 20:43:45,-34.7333,135.8667,65.95,54,99,14.43
63,Joshimath,IN,2021-11-01 20:43:46,30.5667,79.5667,46.31,63,16,5.66
64,Colon,PA,2021-11-01 20:43:46,9.3592,-79.9014,80.62,86,100,5.99
65,Chenghai,CN,2021-11-01 20:43:47,23.4632,116.768,69.71,88,75,4.47
66,Castro,BR,2021-11-01 20:43:47,-24.7911,-50.0119,62.62,91,49,8.86
67,Paris,FR,2021-11-01 20:40:01,48.8534,2.3488,48.15,93,0,1.99
68,Ilulissat,GL,2021-11-01 20:43:48,69.2167,-51.1,33.82,86,75,11.5
69,Onega,RU,2021-11-01 20:39:44,63.9061,38.1404,41.07,98,100,6.55
70,Puerto Del Rosario,ES,2021-11-01 20:43:49,28.5004,-13.8627,71.35,78,20,17.27
71,Fort Nelson,CA,2021-11-01 20:36:43,58.8053,-122.7002,24.39,63,20,0.0
72,Thompson,CA,2021-11-01 20:42:15,55.7435,-97.8558,30.36,80,75,8.05
73,Lata,PT,2021-11-01 20:43:50,40.1629,-8.3327,58.08,80,45,0.54
